,yardline_100,Blocked,Degree of Precipitation,Sub 32 degrees/15 mph wind?
0,16.0,0.0,0.0,0.0
1,28.0,0.0,0.0,0.0
2,22.0,0.0,0.0,0.0
3,41.0,0.0,0.0,0.0
4,20.0,0.0,0.0,0.0
5,29.0,0.0,0.0,0.0
6,22.0,0.0,0.0,0.0
7,21.0,0.0,0.0,0.0
8,27.0,0.0,0.0,0.0
9,34.0,0.0,0.0,0.0
10,21.0,0.0,1.0,0.0
11,29.0,0.0,0.0,0.0
12,34.0,0.0,0.0,0.0
13,47.0,0.0,0.0,0.0
14,36.0,0.0,0.0,0.0
15,45.0,0.0,0.0,0.0
16,31.0,0.0,0.0,0.0
17,9.0,0.0,0.0,0.0
18,34.0,0.0,0.0,0.0
19,28.0,0.0,0.0,0.0
20,41.0,0.0,0.0,1.0
21,15.0,0.0,1.0,0.0
22,34.0,0.0,2.0,0.0
23,20.0,0.0,0.0,0.0
24,17.0,0.0,0.0,0.0
25,26.0,0.0,0.0,0.0
26,24.0,0.0,0.0,0.0
27,30.0,0.0,0.0,0.0
28,26.0,0.0,0.0,0.0
29,25.0,0.0,0.0,0.0
30,25.0,0.0,0.0,0.0
31,34.0,0.0,0.0,0.0
32,22.0,0.0,0.0,0.0
33,41.0,0.0,0.0,0.0
34,24.0,0.0,0.0,0.0
35,12.0,0.0,0.0,0.0
36,5.0,0.0,2.0,0.0
37,28.0,0.0,0.0,0.0
38,31.0,0.0,0.0,0.0
39,13.0,0.0,0.0,0.0
40,17.0,0.0,0.0,0.0
41,36.0,0.0,0.0,0.0
42,25.0,0.0,0.0,0.0
43,39.0,0.0,0.0,0.0
44,16.0,0.0,0.0,0.0
45,31.0,0.0,1.0,0.0
46,27.0,0.0,1.0,0.0
47,23.0,0.0,0.0,0.0
48,36.0,0.0,0.0,0.0
49,30.0,0.0,0.0,0.0
50,15.0,0.0,0.0,0.0
51,34.0,0.0,0.0,2.0
52,26.0,0.0,0.0,0.0
53,23.0,0.0,0.0,1.0
54,27.0,0.0,0.0,0.0
55,25.0,0.0,0.0,0.0
56,39.0,0.0,0.0,0.0
57,17.0,0.0,0.0,0.0
58,24.0,0.0,0.0,0.0
59,16.0,0.0,0.0,0.0
60,30.0,0.0,0.0,0.0
61,30.0,0.0,0.0,0.0
62,33.0,0.0,0.0,0.0
63,22.0,0.0,0.0,0.0
64,13.0,0.0,0.0,2.0
65,47.0,0.0,0.0,0.0
66,14.0,0.0,0.0,0.0
67,21.0,0.0,0.0,0.0
68,26.0,0.0,0.0,0.0
69,23.0,0.0,0.0,0.0
70,40.0,0.0,0.0,0.0
71,42.0,0.0,0.0,0.0
72,23.0,0.0,0.0,0.0
73,40.0,0.0,0.0,1.0
74,13.0,0.0,2.0,1.0
75,33.0,0.0,0.0,0.0
76,14.0,0.0,0.0,0.0
77,11.0,0.0,0.0,0.0
78,34.0,0.0,0.0,0.0
79,48.0,0.0,0.0,0.0
80,13.0,0.0,0.0,0.0
81,18.0,0.0,0.0,0.0
82,29.0,0.0,0.0,2.0
83,41.0,0.0,0.0,0.0
84,28.0,0.0,1.0,0.0
85,23.0,0.0,0.0,0.0
86,36.0,0.0,0.0,0.0
87,16.0,0.0,0.0,0.0
88,30.0,0.0,0.0,0.0
89,24.0,0.0,0.0,0.0
90,25.0,0.0,0.0,0.0
91,36.0,0.0,0.0,0.0
92,18.0,0.0,1.0,0.0
93,39.0,0.0,0.0,0.0
94,16.0,0.0,0.0,0.0
95,31.0,0.0,0.0,0.0
96,28.0,0.0,0.0,0.0
97,11.0,0.0,0.0,0.0
98,17.0,0.0,0.0,0.0
99,21.0,0.0,0.0,0.0
100,25.0,0.0,0.0,0.0
101,23.0,0.0,0.0,0.0
102,10.0,0.0,0.0,0.0
103,23.0,0.0,0.0,0.0
104,17.0,0.0,0.0,0.0
105,28.0,0.0,0.0,0.0
106,20.0,0.0,0.0,0.0
107,45.0,0.0,0.0,0.0
108,41.0,0.0,0.0,0.0
109,29.0,0.0,0.0,0.0
110,27.0,0.0,0.0,0.0
111,48.0,0.0,0.0,0.0
112,13.0,0.0,0.0,0.0
113,14.0,0.0,0.0,1.0
114,15.0,0.0,0.0,0.0
115,19.0,0.0,0.0,0.0
116,34.0,0.0,0.0,0.0
117,45.0,0.0,0.0,0.0
118,43.0,0.0,0.0,0.0
119,47.0,0.0,0.0,0.0
120,48.0,0.0,0.0,0.0
121,10.0,0.0,0.0,0.0
122,13.0,0.0,0.0,0.0
123,17.0,0.0,0.0,0.0
124,31.0,0.0,0.0,0.0
125,39.0,0.0,0.0,0.0
126,19.0,0.0,0.0,0.0
127,35.0,0.0,0.0,0.0
128,37.0,0.0,0.0,0.0
129,13.0,0.0,0.0,0.0
130,17.0,0.0,0.0,0.0
131,26.0,0.0,0.0,0.0
132,6.0,0.0,0.0,0.0
133,26.0,0.0,0.0,0.0
134,34.0,0.0,0.0,0.0
135,33.0,0.0,0.0,0.0
136,26.0,0.0,0.0,0.0
137,26.0,0.0,0.0,0.0
138,13.0,0.0,0.0,0.0
139,21.0,0.0,0.0,0.0
