,game_date,play_id,play_type_nfl,field_goal_result,game_id,possession_team,home_team,away_team,total_home_score,total_away_score,home_score,away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,fumble_forced,fumble_lost,fumble,touchdown,points_scored_on_next_resulting_poss,points_scored_on_play,points_scored_on_next_drive,points_scored_on_play_and_next_drive,points_scored_after_block,total_poss_after_block,block_team_win,block_team_lose,block_team_losing_before_block,block_team_winning_before_block,score_difference_at_block,final_score_difference,win_percentage_increase_after_block,block_team_tied_before_block, win_percentage_before_block, win_percentage_after_block,blk_team
1423,9/11/17,3801,FIELD_GOAL,blocked,2017_01_LAC_DEN,LAC,DEN,LAC,24,21,24,21,0.27330092,Half2,5,field_goal,0.7266991,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,36.7,0,63.3,100,DEN
7191,9/24/17,579,FIELD_GOAL,blocked,2017_03_MIA_NYJ,NYJ,NYJ,MIA,0,0,20,6,0.5647324,Half1,3004,field_goal,0.43526763,0,0,0,0,0,0,0,0,6,11,0,1,0,0,0,-14,7.2,1,63.5,70.7,MIA
7944,9/24/17,2015,FIELD_GOAL,blocked,2017_03_PIT_CHI,PIT,CHI,PIT,14,7,23,17,0.28519937,Half1,1806,field_goal,0.7148006,1,0,1,0,3,0,3,3,9,8,1,0,0,1,7,6,3.5,0,67.6,71.1,CHI
11416,10/8/17,2037,FIELD_GOAL,blocked,2017_05_ARI_PHI,ARI,PHI,ARI,21,7,34,7,0.10608832,Half1,1805,field_goal,0.89391166,0,0,0,0,3,0,3,3,13,4,1,0,0,1,14,27,3.8,0,92.6,96.4,PHI
15665,10/15/17,2811,FIELD_GOAL,blocked,2017_06_NYG_DEN,DEN,DEN,NYG,3,20,10,23,0.049167845,Half2,1158,field_goal,0.9508321,0,0,0,0,0,0,0,0,3,4,1,0,0,1,17,13,1.5,0,93.2,94.7,NYG
15670,10/15/17,2919,FIELD_GOAL,blocked,2017_06_NYG_DEN,NYG,DEN,NYG,3,20,10,23,0.97131777,Half2,1035,field_goal,0.028682232,0,0,0,0,0,0,0,0,7,4,0,1,1,0,-17,-13,2.8,0,2.2,5,DEN
16674,10/22/17,869,FIELD_GOAL,blocked,2017_07_ATL_NE,ATL,NE,ATL,0,0,23,7,0.5535739,Half1,2771,field_goal,0.4464261,0,0,0,0,7,0,7,7,23,5,1,0,0,0,0,16,2.4,1,59.5,61.9,NE
17032,10/22/17,809,FIELD_GOAL,blocked,2017_07_CAR_CHI,CHI,CHI,CAR,7,0,17,3,0.7879557,Half1,2700,field_goal,0.2120443,0,0,0,0,-7,0,-7,-7,3,8,0,1,1,0,-7,-14,9.6,0,38.6,48.2,CAR
17908,10/19/17,1667,FIELD_GOAL,blocked,2017_07_KC_OAK,OAK,LV,KC,14,17,31,30,0.4983645,Half1,2096,field_goal,0.5016355,0,0,0,0,3,0,3,3,13,5,0,1,0,1,3,-1,0,0,67,67,KC
19710,10/29/17,1483,FIELD_GOAL,blocked,2017_08_DAL_WAS,WAS,WAS,DAL,13,7,19,33,0.7949658,Half1,1999,field_goal,0.2050342,0,0,0,0,7,0,7,7,,,,,,,,,,,,,DAL
20239,10/29/17,784,FIELD_GOAL,blocked,2017_08_IND_CIN,CIN,CIN,IND,3,0,24,23,0.73151594,Half1,2802,field_goal,0.26848406,0,0,0,0,,,,,,,,,,,,,,,,,
20397,10/29/17,283,FIELD_GOAL,blocked,2017_08_LAC_NE,LAC,NE,LAC,0,0,21,13,0.455373,Half1,3237,field_goal,0.544627,0,0,0,0,,,,,,,,,,,,,,,,,
20689,10/26/17,2663,FIELD_GOAL,blocked,2017_08_MIA_BAL,BAL,BAL,MIA,20,0,40,0,0.9754656,Half2,1363,field_goal,0.024534404,0,0,0,0,,,,,,,,,,,,,,,,,
21448,10/29/17,3225,FIELD_GOAL,blocked,2017_08_SF_PHI,SF,PHI,SF,27,7,33,10,0.01842346,Half2,850,field_goal,0.98157656,0,0,0,0,,,,,,,,,,,,,,,,,
22579,11/6/17,371,FIELD_GOAL,blocked,2017_09_DET_GB,GB,GB,DET,0,0,17,30,0.583024,Half1,3110,field_goal,0.41697598,0,0,0,0,,,,,,,,,,,,,,,,,
27140,11/19/17,2081,FIELD_GOAL,blocked,2017_11_CIN_DEN,DEN,DEN,CIN,7,13,17,20,0.2940844,Half1,1805,field_goal,0.7059156,0,0,0,0,,,,,,,,,,,,,,,,,
28530,11/16/17,1209,FIELD_GOAL,blocked,2017_11_TEN_PIT,TEN,PIT,TEN,10,7,40,17,0.43280932,Half1,2494,field_goal,0.56719065,0,0,0,0,,,,,,,,,,,,,,,,,
30727,11/23/17,1737,FIELD_GOAL,blocked,2017_12_MIN_DET,MIN,DET,MIN,3,13,23,30,0.8119135,Half1,1991,field_goal,0.18808651,0,0,0,0,,,,,,,,,,,,,,,,,
33120,12/3/17,3409,FIELD_GOAL,blocked,2017_13_LA_ARI,ARI,ARI,LA,16,26,16,32,0.14404026,Half2,663,field_goal,0.8559598,0,0,0,0,,,,,,,,,,,,,,,,,
37718,12/18/17,2871,FIELD_GOAL,blocked,2017_15_ATL_TB,ATL,TB,ATL,14,17,21,24,0.69662327,Half2,982,field_goal,0.30337673,0,0,0,0,,,,,,,,,,,,,,,,,
40050,12/17/17,3625,FIELD_GOAL,blocked,2017_15_PHI_NYG,NYG,NYG,PHI,29,31,29,34,0.47621754,Half2,694,field_goal,0.5237825,0,0,0,0,,,,,,,,,,,,,,,,,
41217,12/23/17,707,FIELD_GOAL,blocked,2017_16_IND_BAL,IND,BAL,IND,3,0,23,16,0.39135775,Half1,2778,field_goal,0.6086422,0,0,0,0,,,,,,,,,,,,,,,,,
45540,12/31/17,1211,FIELD_GOAL,blocked,2017_17_OAK_LAC,LAC,LAC,LV,7,7,30,10,0.6137318,Half1,2323,field_goal,0.3862682,0,0,0,0,,,,,,,,,,,,,,,,,
50083,9/9/18,5480,FIELD_GOAL,blocked,2018_01_PIT_CLE,CLE,CLE,PIT,21,21,21,21,0.801507,Overtime,13,field_goal,0.19849299,0,0,0,0,,,,,,,,,,,,,,,,,
54678,9/23/18,1721,FIELD_GOAL,blocked,2018_03_DEN_BAL,BAL,BAL,DEN,17,14,27,14,0.6574673,Half1,2085,field_goal,0.3425327,0,0,0,0,,,,,,,,,,,,,,,,,
60063,10/7/18,2072,FIELD_GOAL,blocked,2018_05_BAL_CLE,BAL,CLE,BAL,6,3,12,9,0.37088332,Half1,1805,field_goal,0.62911665,0,0,0,0,,,,,,,,,,,,,,,,,
61399,10/7/18,1528,FIELD_GOAL,blocked,2018_05_MIA_CIN,CIN,CIN,MIA,0,7,27,17,0.40423122,Half1,2038,field_goal,0.5957688,0,0,0,0,,,,,,,,,,,,,,,,,
77560,11/25/18,664,FIELD_GOAL,blocked,2018_12_CLE_CIN,CIN,CIN,CLE,0,7,20,35,0.37363353,Half1,2886,field_goal,0.6263665,0,0,0,0,,,,,,,,,,,,,,,,,
78789,11/25/18,404,FIELD_GOAL,blocked,2018_12_PIT_DEN,PIT,DEN,PIT,0,0,24,17,0.5208886,Half1,3284,field_goal,0.47911137,0,0,0,0,,,,,,,,,,,,,,,,,
84322,12/10/18,3312,FIELD_GOAL,blocked,2018_14_MIN_SEA,MIN,SEA,MIN,6,0,21,7,0.18075514,Half2,346,field_goal,0.81924486,0,0,0,0,,,,,,,,,,,,,,,,,
84984,12/9/18,2392,FIELD_GOAL,blocked,2018_14_NYJ_BUF,BUF,BUF,NYJ,17,13,23,27,0.663107,Half1,1804,field_goal,0.33689302,1,0,1,0,,,,,,,,,,,,,,,,,
85817,12/16/18,270,FIELD_GOAL,blocked,2018_15_DAL_IND,DAL,IND,DAL,0,0,23,0,0.43972364,Half1,3302,field_goal,0.5602764,0,0,0,0,,,,,,,,,,,,,,,,,
90729,12/23/18,3883,FIELD_GOAL,blocked,2018_16_PIT_NO,NO,NO,PIT,24,28,31,28,0.3286788,Half2,377,field_goal,0.6713212,0,0,0,0,,,,,,,,,,,,,,,,,
94112,1/6/19,2131,FIELD_GOAL,blocked,2018_18_LAC_BAL,LAC,BAL,LAC,0,12,17,23,0.8762638,Half2,1731,field_goal,0.1237362,0,0,0,0,,,,,,,,,,,,,,,,,
94391,1/6/19,4569,FIELD_GOAL,blocked,2018_18_PHI_CHI,CHI,CHI,PHI,15,16,15,16,0.5720951,Half2,10,field_goal,0.4279049,0,0,0,0,,,,,,,,,,,,,,,,,
102900,9/22/19,3966,FIELD_GOAL,blocked,2019_03_DET_PHI,DET,PHI,DET,24,27,24,27,0.8676812,Half2,113,field_goal,0.1323188,0,0,0,0,,,,,,,,,,,,,,,,,
107919,10/6/19,3065,FIELD_GOAL,blocked,2019_05_BUF_TEN,TEN,TEN,BUF,7,7,7,14,0.56839037,Half2,747,field_goal,0.43160963,0,0,0,0,,,,,,,,,,,,,,,,,
108254,10/7/19,3024,FIELD_GOAL,blocked,2019_05_CLE_SF,SF,SF,CLE,28,3,31,3,0.9986885,Half2,1004,field_goal,0.001311481,0,0,0,0,,,,,,,,,,,,,,,,,
108347,10/6/19,1286,FIELD_GOAL,blocked,2019_05_DEN_LAC,LAC,LAC,DEN,0,14,13,20,0.16024141,Half1,2329,field_goal,0.8397586,0,0,0,0,,,,,,,,,,,,,,,,,
108930,10/6/19,1967,FIELD_GOAL,blocked,2019_05_JAX_CAR,CAR,CAR,JAX,21,14,34,27,0.7662471,Half1,1985,field_goal,0.2337529,0,0,0,0,,,,,,,,,,,,,,,,,
115555,10/27/19,1994,FIELD_GOAL,blocked,2019_08_CLE_NE,NE,NE,CLE,17,7,27,13,0.8747828,Half1,1945,field_goal,0.1252172,0,0,0,0,,,,,,,,,,,,,,,,,
121400,11/10/19,4301,FIELD_GOAL,blocked,2019_10_KC_TEN,KC,TEN,KC,35,32,35,32,0.28453103,Half2,3,field_goal,0.715469,0,0,0,0,,,,,,,,,,,,,,,,,
127686,11/28/19,2165,FIELD_GOAL,blocked,2019_13_BUF_DAL,DAL,DAL,BUF,7,13,15,26,0.38374788,Half1,1804,field_goal,0.6162521,0,0,0,0,,,,,,,,,,,,,,,,,
129838,12/1/19,1950,FIELD_GOAL,blocked,2019_13_SF_BAL,SF,BAL,SF,17,14,20,17,0.36254117,Half1,1804,field_goal,0.6374588,0,0,0,0,,,,,,,,,,,,,,,,,
130139,12/1/19,906,FIELD_GOAL,blocked,2019_13_TEN_IND,IND,IND,TEN,7,7,17,31,0.617763,Half1,2752,field_goal,0.38223702,0,0,0,0,,,,,,,,,,,,,,,,,
130249,12/1/19,3572,FIELD_GOAL,blocked,2019_13_TEN_IND,IND,IND,TEN,17,23,17,31,0.5635847,Half2,312,field_goal,0.4364153,0,0,0,1,,,,,,,,,,,,,,,,,
130367,12/1/19,2220,FIELD_GOAL,blocked,2019_13_WAS_CAR,WAS,CAR,WAS,14,12,21,29,0.4929722,Half1,1810,field_goal,0.5070278,0,0,0,0,,,,,,,,,,,,,,,,,
131811,12/8/19,998,FIELD_GOAL,blocked,2019_14_KC_NE,NE,NE,KC,7,3,16,23,0.67379224,Half1,2826,field_goal,0.32620776,0,0,0,0,,,,,,,,,,,,,,,,,
132783,12/8/19,2645,FIELD_GOAL,blocked,2019_14_SEA_LA,LA,LA,SEA,21,9,28,12,0.9180801,Half2,1245,field_goal,0.08191991,0,0,0,0,,,,,,,,,,,,,,,,,
134274,12/15/19,502,FIELD_GOAL,blocked,2019_15_HOU_TEN,TEN,TEN,HOU,0,0,21,24,0.6457882,Half1,3128,field_goal,0.3542118,0,0,0,0,,,,,,,,,,,,,,,,,
135518,12/12/19,617,FIELD_GOAL,blocked,2019_15_NYJ_BAL,NYJ,BAL,NYJ,7,0,42,21,0.23702097,Half1,3013,field_goal,0.76297903,0,0,0,0,,,,,,,,,,,,,,,,,
136338,12/22/19,3287,FIELD_GOAL,blocked,2019_16_ARI_SEA,ARI,SEA,ARI,7,20,13,27,0.95034456,Half2,980,field_goal,0.049655437,0,0,0,0,,,,,,,,,,,,,,,,,
137695,12/21/19,568,FIELD_GOAL,blocked,2019_16_HOU_TB,TB,TB,HOU,0,10,20,23,0.22504514,Half1,3212,field_goal,0.77495486,0,0,0,0,,,,,,,,,,,,,,,,,
142364,1/5/20,414,FIELD_GOAL,blocked,2019_18_SEA_PHI,SEA,PHI,SEA,0,0,9,17,0.47733897,Half1,3289,field_goal,0.52266103,0,0,0,0,,,,,,,,,,,,,,,,,
146495,9/13/20,1503,FIELD_GOAL,blocked,2020_01_TB_NO,TB,NO,TB,14,7,34,23,0.27355072,Half1,2016,field_goal,0.72644925,0,0,0,0,,,,,,,,,,,,,,,,,
146705,9/14/20,2010,FIELD_GOAL,blocked,2020_01_TEN_DEN,TEN,DEN,TEN,7,7,14,16,0.4635474,Half1,1812,field_goal,0.5364526,0,0,0,0,,,,,,,,,,,,,,,,,
159630,10/18/20,2386,FIELD_GOAL,blocked,2020_06_HOU_TEN,TEN,TEN,HOU,21,10,42,36,0.91826844,Half2,1437,field_goal,0.08173156,0,0,0,0,,,,,,,,,,,,,,,,,
160857,10/26/20,3258,FIELD_GOAL,blocked,2020_07_CHI_LA,LA,LA,CHI,24,3,24,10,0.99661523,Half2,770,field_goal,0.003384769,0,0,0,0,,,,,,,,,,,,,,,,,
164616,11/1/20,1970,FIELD_GOAL,blocked,2020_08_NYJ_KC,NYJ,KC,NYJ,21,9,35,9,0.18552043,Half1,1802,field_goal,0.8144796,0,0,0,0,,,,,,,,,,,,,,,,,
172582,11/22/20,2930,FIELD_GOAL,blocked,2020_11_PHI_CLE,CLE,CLE,PHI,12,7,22,17,0.74137545,Half2,844,field_goal,0.25862455,0,0,0,0,,,,,,,,,,,,,,,,,
173448,11/29/20,2642,FIELD_GOAL,blocked,2020_12_CAR_MIN,CAR,MIN,CAR,10,21,28,27,0.9103742,Half2,1227,field_goal,0.089625776,0,0,0,0,,,,,,,,,,,,,,,,,
177831,12/6/20,2112,FIELD_GOAL,blocked,2020_13_NE_LAC,LAC,LAC,NE,0,27,0,45,0.07507619,Half1,1803,field_goal,0.9249238,0,0,0,1,,,,,,,,,,,,,,,,,
181136,12/13/20,260,FIELD_GOAL,blocked,2020_14_TEN_JAX,JAX,JAX,TEN,0,0,10,31,0.54281247,Half1,3261,field_goal,0.45718753,0,0,0,0,,,,,,,,,,,,,,,,,
185342,12/27/20,2704,FIELD_GOAL,blocked,2020_16_CLE_NYJ,NYJ,NYJ,CLE,20,3,23,16,0.95886934,Half2,1247,field_goal,0.041130662,0,0,0,0,,,,,,,,,,,,,,,,,
187384,1/3/21,3258,FIELD_GOAL,blocked,2020_17_ARI_LA,ARI,LA,ARI,18,7,18,7,0.08417456,Half2,548,field_goal,0.9158254,0,0,0,0,,,,,,,,,,,,,,,,,
188539,1/3/21,2386,FIELD_GOAL,blocked,2020_17_LV_DEN,DEN,DEN,LV,10,17,31,32,0.36448103,Half1,1803,field_goal,0.63551897,0,0,0,0,,,,,,,,,,,,,,,,,
188639,1/3/21,4695,FIELD_GOAL,blocked,2020_17_LV_DEN,DEN,DEN,LV,31,32,31,32,0.4689671,Half2,9,field_goal,0.5310329,0,0,0,0,,,,,,,,,,,,,,,,,
196531,9/19/21,3875,FIELD_GOAL,blocked,2021_02_HOU_CLE,HOU,CLE,HOU,31,21,31,21,0.02116845,Half2,123,field_goal,0.9788315,0,0,0,0,,,,,,,,,,,,,,,,,
197504,9/19/21,2303,FIELD_GOAL,blocked,2021_02_NO_CAR,CAR,CAR,NO,17,0,26,7,0.93536043,Half2,1420,field_goal,0.06463957,0,0,0,0,,,,,,,,,,,,,,,,,
197820,9/19/21,1105,FIELD_GOAL,blocked,2021_02_SF_PHI,PHI,PHI,SF,3,0,11,17,0.7123325,Half1,2656,field_goal,0.2876675,0,0,0,0,,,,,,,,,,,,,,,,,
205140,10/11/21,3567,FIELD_GOAL,blocked,2021_05_IND_BAL,IND,BAL,IND,17,25,31,25,0.9531142,Half2,277,field_goal,0.04688579,0,0,0,0,,,,,,,,,,,,,,,,,
209366,10/24/21,1092,FIELD_GOAL,blocked,2021_07_ATL_MIA,MIA,MIA,ATL,7,3,28,30,0.6644822,Half1,2403,field_goal,0.33551782,0,0,0,0,,,,,,,,,,,,,,,,,
210105,10/21/21,1610,FIELD_GOAL,blocked,2021_07_DEN_CLE,CLE,CLE,DEN,10,0,17,14,0.8503349,Half1,1916,field_goal,0.14966512,0,0,0,0,,,,,,,,,,,,,,,,,
211471,10/24/21,936,FIELD_GOAL,blocked,2021_07_WAS_GB,WAS,GB,WAS,7,7,24,10,0.5410858,Half1,2486,field_goal,0.45891422,0,0,0,0,,,,,,,,,,,,,,,,,
211481,10/24/21,1173,FIELD_GOAL,blocked,2021_07_WAS_GB,GB,GB,WAS,7,7,24,10,0.5599192,Half1,2124,field_goal,0.44008082,0,0,0,0,,,,,,,,,,,,,,,,,
212684,10/31/21,429,FIELD_GOAL,blocked,2021_08_MIA_BUF,MIA,BUF,MIA,0,0,26,11,0.55143213,Half1,3190,field_goal,0.44856787,0,0,0,0,,,,,,,,,,,,,,,,,
214180,10/31/21,916,FIELD_GOAL,blocked,2021_08_WAS_DEN,WAS,DEN,WAS,0,0,17,10,0.44651282,Half1,2631,field_goal,0.5534872,0,0,0,0,,,,,,,,,,,,,,,,,
214267,10/31/21,2903,FIELD_GOAL,blocked,2021_08_WAS_DEN,WAS,DEN,WAS,10,10,17,10,0.48533517,Half2,540,field_goal,0.5146648,0,0,0,0,,,,,,,,,,,,,,,,,
215408,11/7/21,1031,FIELD_GOAL,blocked,2021_09_GB_KC,GB,KC,GB,7,0,13,7,0.25194082,Half1,2448,field_goal,0.74805915,0,0,0,0,,,,,,,,,,,,,,,,,
218862,11/14/21,2233,FIELD_GOAL,blocked,2021_10_PHI_DEN,DEN,DEN,PHI,10,20,13,30,0.27932972,Half2,1556,field_goal,0.7206703,0,0,0,0,,,,,,,,,,,,,,,,,
231321,12/20/21,2055,FIELD_GOAL,blocked,2021_15_MIN_CHI,CHI,CHI,MIN,3,10,9,17,0.33945906,Half1,1833,field_goal,0.66054094,0,0,0,0,,,,,,,,,,,,,,,,,
237234,1/2/22,2426,FIELD_GOAL,blocked,2021_17_MIA_TEN,MIA,TEN,MIA,17,3,34,3,0.065459274,Half2,1177,field_goal,0.93454075,0,0,0,0,,,,,,,,,,,,,,,,,
242522,1/22/22,1827,FIELD_GOAL,blocked,2021_20_SF_GB,GB,GB,SF,7,0,10,13,0.8253661,Half1,1803,field_goal,0.17463392,0,0,0,0,,,,,,,,,,,,,,,,,
