,game_date,play_id,play_type_nfl,yardline_100,game_id,possession_team,home_team,away_team,total_home_score,total_away_score,home_score,away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,punt_blocked,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,interception,punt_inside_twenty,kickoff_inside_twenty,kickoff_out_of_bounds,fumble_forced,fumble_not_forced,fumble_lost,fumble,safety,own_kickoff_recovery_td,qb_hit,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,drive_ended_with_score
2299,2017-09-10,150.0,PUNT,84.0,2017_01_PIT_CLE,CLE,CLE,PIT,0.0,6.0,18,21,0.44952348,Half1,3472.0,punt,0.55047655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14933,2017-10-15,1840.0,PUNT,81.0,2017_06_LA_JAX,JAX,JAX,LA,14.0,23.0,17,27,0.40916374,Half1,1952.0,punt,0.5908363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20218,2017-10-29,252.0,PUNT,47.0,2017_08_IND_CIN,IND,CIN,IND,0.0,0.0,24,23,0.39257142,Half1,3288.0,punt,0.60742855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23212,2017-11-05,2930.0,PUNT,66.0,2017_09_LA_NYG,NYG,NYG,LA,10.0,41.0,17,51,0.00073679985,Half2,1203.0,punt,0.9992632,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23457,2017-11-05,472.0,PUNT,72.0,2017_09_TB_NO,TB,NO,TB,9.0,0.0,30,10,0.34660026,Half1,3097.0,punt,0.6533997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25319,2017-11-12,1202.0,PUNT,59.0,2017_10_NE_DEN,DEN,DEN,NE,6.0,17.0,16,41,0.21348892,Half1,2444.0,punt,0.78651106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27060,2017-11-19,242.0,PUNT,66.0,2017_11_CIN_DEN,CIN,DEN,CIN,0.0,0.0,17,20,0.45961368,Half1,3377.0,punt,0.5403863,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32172,2017-12-03,2564.0,PUNT,64.0,2017_13_DEN_MIA,DEN,MIA,DEN,19.0,3.0,35,9,0.05213337,Half2,1405.0,punt,0.9478666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36633,2017-12-10,2776.0,PUNT,70.0,2017_14_PHI_LA,PHI,LA,PHI,27.0,24.0,35,43,0.5116404,Half2,1513.0,punt,0.48835957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39979,2017-12-17,1955.0,PUNT,71.0,2017_15_PHI_NYG,NYG,NYG,PHI,20.0,14.0,29,34,0.6727436,Half1,2003.0,punt,0.32725638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41351,2017-12-23,3800.0,PUNT,59.0,2017_16_IND_BAL,BAL,BAL,IND,23.0,16.0,23,16,0.9070965,Half2,165.0,punt,0.092903495,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52807,2018-09-16,365.0,PUNT,85.0,2018_02_MIN_GB,MIN,GB,MIN,6.0,0.0,29,29,0.41070715,Half1,3153.0,punt,0.5892929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54610,2018-09-23,120.0,PUNT,87.0,2018_03_DEN_BAL,BAL,BAL,DEN,0.0,0.0,27,14,0.44885355,Half1,3520.0,punt,0.55114645,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55223,2018-09-23,1513.0,PUNT,96.0,2018_03_LAC_LA,LAC,LA,LAC,20.0,6.0,35,23,0.16247751,Half1,2270.0,punt,0.8375225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55608,2018-09-23,2749.0,PUNT,56.0,2018_03_NO_ATL,ATL,ATL,NO,21.0,16.0,37,43,0.6831128,Half2,1430.0,punt,0.3168872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57236,2018-09-30,2260.0,PUNT,81.0,2018_04_CIN_ATL,CIN,ATL,CIN,24.0,28.0,36,37,0.5262363,Half2,1696.0,punt,0.4737637,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59917,2018-10-07,2744.0,PUNT,78.0,2018_05_ATL_PIT,ATL,PIT,ATL,20.0,10.0,41,17,0.08979723,Half2,1069.0,punt,0.91020274,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62737,2018-10-14,1257.0,PUNT,53.0,2018_06_BUF_HOU,BUF,HOU,BUF,7.0,0.0,20,13,0.20997225,Half1,2423.0,punt,0.79002774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66465,2018-10-21,1086.0,PUNT,84.0,2018_07_LA_SF,SF,SF,LA,0.0,12.0,10,39,0.21441256,Half1,2583.0,punt,0.78558743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66908,2018-10-21,3092.0,PUNT,55.0,2018_07_NE_CHI,CHI,CHI,NE,24.0,30.0,31,38,0.4999637,Half2,1265.0,punt,0.5000363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71031,2018-11-04,2668.0,PUNT,63.0,2018_09_KC_CLE,CLE,CLE,KC,15.0,28.0,21,37,0.094639026,Half2,1390.0,punt,0.905361,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73785,2018-11-11,2293.0,PUNT,74.0,2018_10_MIA_GB,GB,GB,MIA,14.0,9.0,31,12,0.65690076,Half2,1700.0,punt,0.34309924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82059,2018-12-02,1537.0,PUNT,74.0,2018_13_NYJ_TEN,TEN,TEN,NYJ,0.0,13.0,26,22,0.1115289,Half1,2111.0,punt,0.8884711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84385,2018-12-09,744.0,PUNT,67.0,2018_14_NE_MIA,MIA,MIA,NE,7.0,6.0,34,33,0.6373994,Half1,2787.0,punt,0.36260062,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84642,2018-12-09,2649.0,PUNT,59.0,2018_14_NO_TB,TB,TB,NO,14.0,3.0,14,28,0.8692659,Half2,1343.0,punt,0.13073409,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
