,game_date,play_id,play_type_nfl,game_id,possession_team,home_team,away_team,total_home_score,total_away_score,home_score,away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,return_yards,punt_inside_twenty,return_touchdown,ret_team,points_scored_on_next_resulting_poss,points_scored_on_play,points_scored_on_next_drive,points_scored_on_play_and_next_drive,points_scored_after_ret,total_poss_before_ret,total_poss_after_ret,ret_team_win,ret_team_losing_before_block,ret_team_winning_before_block,ret_team_tied_before_block,score_difference_at_block,final_score_difference,points_per_drive_after_ret,time_to_score_each_point
208,9/13/21,643,PUNT,2021_01_BAL_LV,LV,LV,BAL,0,0,33,27,0.46454927,Half1,2999,punt,0.5354507,22,0,0,BAL,7,0,7,7,27,,11,-1,0,0,1,0,-6,2.454545455,111.0740741
289,9/13/21,2479,PUNT,2021_01_BAL_LV,LV,LV,BAL,10,14,33,27,0.27340218,Half2,1563,punt,0.7265978,30,0,0,BAL,3,0,3,3,13,,6,-1,0,1,0,4,-6,2.166666667,120.2307692
3098,9/19/21,114,PUNT,2021_02_BUF_MIA,MIA,MIA,BUF,0,0,0,35,0.45431122,Half1,3480,punt,0.54568875,20,0,0,BUF,7,0,7,7,35,,12,1,0,0,1,0,35,2.916666667,99.42857143
3746,9/19/21,2909,PUNT,2021_02_DEN_JAX,JAX,JAX,DEN,7,20,13,23,0.04841681,Half2,915,punt,0.9515832,25,0,0,DEN,0,0,0,0,3,,2,1,0,1,0,13,10,1.5,305
5734,9/26/21,364,PUNT,2021_03_ARI_JAX,JAX,JAX,ARI,0,0,19,31,0.4710029,Half1,3321,punt,0.52899706,27,0,0,ARI,7,0,7,7,31,,10,1,0,0,1,0,12,3.1,107.1290323
6132,9/26/21,1498,PUNT,2021_03_BAL_DET,DET,DET,BAL,0,3,17,19,0.36304036,Half1,2228,punt,0.6369597,29,0,0,BAL,7,0,7,7,16,,6,1,0,1,0,3,2,2.666666667,139.25
6505,9/26/21,2126,PUNT,2021_03_CHI_CLE,CHI,CLE,CHI,10,3,26,6,0.18551904,Half2,1752,punt,0.81448096,23,0,0,CLE,3,0,3,3,16,,5,1,0,1,0,10,20,3.2,109.5
6566,9/26/21,3510,PUNT,2021_03_CHI_CLE,CHI,CLE,CHI,23,6,26,6,0.010319276,Half2,570,punt,0.9896807,24,0,0,CLE,3,0,3,3,3,,1,1,0,1,0,17,20,3,190
7545,9/26/21,224,PUNT,2021_03_NO_NE,NE,NE,NO,0,0,13,28,0.57158923,Half1,3468,punt,0.42841077,25,0,0,NO,7,0,7,7,28,,9,1,0,0,1,0,15,3.111111111,123.8571429
8860,10/3/21,1891,PUNT,2021_04_BAL_DEN,DEN,DEN,BAL,7,14,7,23,0.21361913,Half1,1848,punt,0.7863809,42,0,0,BAL,3,0,3,3,9,,6,1,0,1,0,7,16,1.5,205.3333333
9474,10/3/21,3615,PUNT,2021_04_DET_CHI,CHI,CHI,DET,24,14,24,14,0.9150345,Half2,464,punt,0.08496553,22,0,0,DET,0,0,0,0,0,,1,-1,1,0,0,-10,-10,0,0
10487,10/3/21,3198,PUNT,2021_04_NYG_NO,NO,NO,NYG,21,10,21,27,0.9535579,Half2,434,punt,0.04644209,26,0,0,NYG,7,0,7,7,17,,3,1,1,0,0,-11,6,5.666666667,25.52941176
11095,10/3/21,647,PUNT,2021_04_TEN_NYJ,NYJ,NYJ,TEN,0,3,27,24,0.36778507,Half1,2956,punt,0.6322149,22,0,0,TEN,3,0,3,3,21,,12,-1,0,1,0,3,-3,1.75,140.7619048
11763,10/10/21,2152,PUNT,2021_05_CHI_LV,LV,LV,CHI,3,14,9,20,0.1695282,Half2,1730,punt,0.8304718,21,1,0,CHI,0,0,0,0,6,,5,1,0,1,0,11,11,1.2,288.3333333
13878,10/10/21,1085,PUNT,2021_05_PHI_CAR,PHI,CAR,PHI,10,3,18,21,0.21760544,Half1,2736,punt,0.7823945,22,0,0,CAR,0,0,0,0,8,,11,-1,0,1,0,7,-3,0.727272727,342
13936,10/10/21,2463,PUNT,2021_05_PHI_CAR,CAR,CAR,PHI,15,6,18,21,0.81124157,Half2,1667,punt,0.18875843,22,0,0,PHI,0,0,0,0,15,,6,1,1,0,0,-9,3,2.5,111.1333333
14476,10/17/21,2787,PUNT,2021_06_ARI_CLE,ARI,CLE,ARI,14,23,14,37,0.8063057,Half2,1506,punt,0.1936943,21,0,0,CLE,0,0,0,0,0,,3,-1,1,0,0,-9,-23,0,0
14989,10/17/21,2257,PUNT,2021_06_DAL_NE,DAL,NE,DAL,14,10,29,35,0.25786287,Half2,1592,punt,0.74213713,23,0,0,NE,0,0,0,0,15,,6,-1,0,1,0,4,-6,2.5,106.1333333
15467,10/17/21,994,PUNT,2021_06_KC_WAS,WAS,WAS,KC,3,7,13,31,0.30293748,Half1,2632,punt,0.6970625,31,0,0,KC,3,0,3,3,24,,8,1,0,1,0,4,18,3,109.6666667
15553,10/17/21,3129,PUNT,2021_06_KC_WAS,WAS,WAS,KC,13,17,13,31,0.29034477,Half2,1072,punt,0.7096552,25,0,0,KC,7,0,7,7,14,,2,1,0,1,0,4,18,7,76.57142857
17261,10/24/21,128,PUNT,2021_07_CHI_TB,CHI,TB,CHI,0,0,38,3,0.35344067,Half1,3484,punt,0.64655936,43,0,0,TB,7,0,7,7,38,,12,1,0,0,1,0,38,3.166666667,91.68421053
17482,10/24/21,1094,PUNT,2021_07_CIN_BAL,CIN,BAL,CIN,3,3,17,41,0.40415457,Half1,2515,punt,0.59584546,21,0,0,BAL,0,0,0,0,14,,9,-1,0,0,1,0,-24,1.555555556,179.6428571
17981,10/24/21,393,PUNT,2021_07_HOU_ARI,ARI,ARI,HOU,0,0,31,5,0.48014095,Half1,3217,punt,0.5198591,20,0,0,HOU,2,0,2,2,5,,10,-1,0,0,1,0,-26,0.5,643.4
19998,10/31/21,2427,PUNT,2021_08_JAX_SEA,JAX,SEA,JAX,24,0,31,7,0.004732318,Half2,1328,punt,0.9952677,20,0,0,SEA,0,0,0,0,7,,4,1,0,1,0,24,24,1.75,189.7142857
20466,10/31/21,710,PUNT,2021_08_NE_LAC,LAC,LAC,NE,7,7,24,27,0.49344638,Half1,2875,punt,0.50655365,21,0,0,NE,0,0,0,0,20,,9,1,0,0,1,0,3,2.222222222,143.75
20495,10/31/21,1378,PUNT,2021_08_NE_LAC,LAC,LAC,NE,14,7,24,27,0.63896775,Half1,2224,punt,0.36103225,22,0,0,NE,3,0,3,3,20,,7,1,1,0,0,-7,3,2.857142857,111.2
20543,10/31/21,2477,PUNT,2021_08_NE_LAC,LAC,LAC,NE,14,13,24,27,0.5765992,Half2,1441,punt,0.42340082,27,0,0,NE,3,0,3,3,14,,3,1,1,0,0,-1,3,4.666666667,102.9285714
