Date of Game,Game ID,Team that blocked,Team that was blocked,Home Team,Home Score,Away Score,Home Final Score,Away Final Score,Half,location of block,return yards,resulting drive starting location,score off return,Score on resulting drive,# of plays on resulting drive,yards on resulting drive,points scored off block/resulting drive,Blocking_team_won,score differential after block (Blocking - Blocked),Points scored by blocking team after block,points scored by team that was blocked after block,Blocking Team was winning,Blocking team won,seconds left at punt,seconds left after drive,drives before punt blocked (blocking team),drives after punt (blocking team),length of drive (seconds),Sub 32 degrees/15 mph wind?,Degree of Precipitation,number of rushers
2017-09-10,2017_01_PIT_CLE,PIT,CLE,CLE,0,6,18,21,Half1,16,0,NaN,1,NaN,0,0,6,1,-3,15,18,1,1,3472,3472,0,10,0,0,0,6
2017-10-15,2017_06_LA_JAX,LA,JAX,JAX,14,23,17,27,Half1,19,8,NaN,1,NaN,0,0,6,0,1,4,3,1,1,1952,1952,8,5,0,0,0,7
2017-10-29,2017_08_IND_CIN,CIN,IND,CIN,0,0,24,23,Half1,53,0,53,0,1,9,38,3,1,1,24,23,0,1,3288,3041,0,9,247,0,0,8
11/5/17,2017_09_LA_NYG,LA,NYG,NYG,10,41,17,51,Half2,34,0,34,0,1,3,18,6,1,3,10,7,1,1,1203,1108,8,3,95,0,1,6
11/5/17,2017_09_TB_NO,NO,TB,NO,9,0,30,10,Half1,28,7,NaN,1,NaN,0,0,6,1,11,21,10,1,1,3097,3097,1,9,0,0,0,1
11/12/17,2017_10_NE_DEN,NE,DEN,DEN,6,17,16,41,Half1,41,0,41,0,1,5,20,3,1,14,24,10,1,1,2444,2327,4,5,117,0,0,5
11/19/17,2017_11_CIN_DEN,DEN,CIN,DEN,0,0,17,20,Half1,34,0,34,0,0,6,25,0,0,-3,17,20,0,0,3377,3221,1,10,156,0,0,1
12/3/17,2017_13_DEN_MIA,MIA,DEN,MIA,19,3,35,9,Half2,36,0,36,0,0,2,24,0,1,10,16,6,1,1,1405,1349,7,8,56,0,0,6
12/10/17,2017_14_PHI_LA,LA,PHI,LA,27,24,35,43,Half2,30,16,NaN,1,NaN,0,0,6,0,-11,8,19,1,0,1513,1513,8,4,0,0,0,6
12/17/17,2017_15_PHI_NYG,PHI,NYG,NYG,20,14,29,34,Half1,29,0,29,0,1,3,18,6,1,-11,9,20,0,1,2003,1940,5,6,63,0,0,7
12/23/17,2017_16_IND_BAL,IND,BAL,BAL,23,16,23,16,Half2,41,0,41,0,0,6,10,0,0,0,0,0,0,0,165,103,8,0,62,1,1,6
9/16/18,2018_02_MIN_GB,GB,MIN,GB,6,0,29,29,Half1,15,0,NaN,1,NaN,0,0,6,0,-6,23,29,1,0,3153,3153,1,11,0,0,0,4
9/23/18,2018_03_DEN_BAL,DEN,BAL,BAL,0,0,27,14,Half1,13,2,11,0,1,1,6,6,0,-13,14,27,0,0,3520,3516,0,10,4,0,1,5
9/23/18,2018_03_LAC_LA,LA,LAC,LA,20,6,35,23,Half1,4,0,NaN,1,NaN,0,0,6,1,-2,15,17,1,1,2270,2270,4,5,0,0,0,4
9/23/18,2018_03_NO_ATL,NO,ATL,ATL,21,16,37,43,Half2,44,12,32,0,1,4,16,6,1,11,27,16,0,1,1430,1346,8,4,84,0,0,7
9/30/18,2018_04_CIN_ATL,ATL,CIN,ATL,24,28,36,37,Half2,19,0,19,0,1,4,-2,3,0,3,12,9,0,0,1696,1590,5,4,106,0,0,8
10/7/18,2018_05_ATL_PIT,PIT,ATL,PIT,20,10,41,17,Half2,22,0,22,0,1,3,18,6,1,14,21,7,1,1,1069,1011,6,3,58,0,0,7
10/14/18,2018_06_BUF_HOU,HOU,BUF,HOU,7,0,20,13,Half1,47,14,33,0,1,4,7,3,1,0,13,13,1,1,2423,2323,3,8,100,0,0,5
10/21/18,2018_07_LA_SF,LA,SF,SF,0,12,10,39,Half1,35,0,NaN,1,NaN,0,0,2,0,17,27,10,1,1,2583,2409,4,8,174,0,0,2
10/21/18,2018_07_NE_CHI,NE,CHI,CHI,24,30,31,38,Half2,45,29,NaN,1,NaN,0,0,6,1,1,8,7,1,1,1265,1265,8,4,0,0,0,1
11/4/18,2018_09_KC_CLE,KC,CLE,CLE,15,28,21,37,Half2,37,0,37,0,1,2,21,6,1,3,9,6,1,1,1390,1355,5,3,35,0,0,1
11/11/18,2018_10_MIA_GB,MIA,GB,GB,14,9,31,12,Half2,26,0,26,0,1,4,6,3,0,-14,3,17,0,0,1700,1617,6,3,83,1,0,6
12/2/18,2018_13_NYJ_TEN,NYJ,TEN,TEN,0,13,26,22,Half1,26,0,26,0,1,4,-7,3,0,-17,9,26,1,0,2111,1980,3,9,131,0,0,2
12/9/18,2018_14_NE_MIA,NE,MIA,MIA,7,6,34,33,Half1,33,6,27,0,1,5,18,6,0,0,27,27,0,0,2787,2663,2,8,124,1,0,6
12/9/18,2018_14_NO_TB,NO,TB,TB,14,3,14,28,Half2,41,0,41,0,1,5,30,6,1,25,25,0,0,1,1343,1188,7,4,155,0,1,5
12/23/18,2018_16_CIN_CLE,CIN,CLE,CLE,26,10,26,18,Half2,34,0,34,0,1,3,23,6,0,8,8,0,0,0,239,182,8,0,57,0,0,8
12/30/18,2018_17_ARI_SEA,ARI,SEA,SEA,21,19,27,24,Half2,25,0,NaN,1,NaN,0,0,6,0,-1,5,6,0,0,921,921,11,2,0,0,0,7
1/12/19,2018_19_IND_KC,IND,KC,KC,17,6,31,13,Half1,19,0,NaN,1,NaN,0,0,6,0,-7,7,14,0,0,2164,2164,4,7,0,1,2,6
9/8/19,2019_01_ATL_MIN,MIN,ATL,MIN,0,0,28,12,Half1,33,0,33,0,1,2,21,6,1,16,28,12,0,1,3479,3410,0,9,69,0,0,3
9/8/19,2019_01_LA_CAR,CAR,LA,CAR,13,23,27,30,Half2,23,4,19,0,1,2,5,6,1,7,14,7,0,0,825,797,9,3,28,0,0,2
9/29/19,2019_04_NE_BUF,NE,BUF,BUF,0,12,10,16,Half1,33,17,NaN,1,NaN,0,0,6,1,-6,4,10,1,1,3090,3090,2,11,0,0,0,10
10/10/19,2019_06_NYG_NE,NE,NYG,NE,6,0,35,14,Half1,19,6,NaN,1,NaN,0,0,6,1,15,29,14,0,1,2808,2808,4,8,0,0,0,5
10/13/19,2019_06_SEA_CLE,SEA,CLE,CLE,20,9,28,32,Half1,26,0,26,0,1,6,18,3,1,15,23,8,0,0,2413,2252,3,8,161,0,0,2
10/20/19,2019_07_ARI_NYG,NYG,ARI,NYG,13,17,21,27,Half1,4,0,NaN,1,NaN,0,0,6,0,-2,8,10,0,0,2399,2399,3,7,0,0,0,2
10/20/19,2019_07_NO_CHI,NO,CHI,CHI,0,2,25,36,Half1,27,0,NaN,1,NaN,0,0,2,1,9,34,25,0,1,3517,3387,0,13,130,0,0,1
11/24/19,2019_12_DAL_NE,NE,DAL,NE,0,0,13,9,Half1,30,0,30,0,1,2,12,6,1,4,13,9,0,1,2805,2745,2,9,60,0,0,5
12/8/19,2019_14_KC_NE,NE,KC,NE,7,23,16,23,Half2,35,0,35,0,1,2,19,6,0,9,9,0,0,0,1219,1168,8,3,51,1,0,3
12/12/19,2019_15_NYJ_BAL,NYJ,BAL,BAL,35,13,42,21,Half2,28,14,NaN,1,NaN,0,0,6,1,1,8,7,0,0,733,733,9,2,0,1,0,5
12/22/19,2019_16_NYG_WAS,WAS,NYG,WAS,21,35,35,41,Half2,28,0,28,0,1,1,17,6,0,8,14,6,0,0,884,876,8,2,8,0,0,2
1/12/20,2019_19_HOU_KC,HOU,KC,KC,0,13,51,31,Half1,25,11,NaN,1,NaN,0,0,6,0,-33,18,51,1,0,3313,3313,1,12,0,1,0,8
9/13/20,2020_01_ARI_SF,ARI,SF,SF,10,0,20,24,Half1,36,5,31,0,1,1,10,6,1,-14,10,24,0,1,3134,3124,2,9,10,0,0,2
9/27/20,2020_03_TB_DEN,TB,DEN,DEN,0,0,10,28,Half1,43,4,39,0,1,3,10,6,1,18,28,10,0,1,3351,3308,0,11,43,0,0,3
