Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Arizona Cardinals,2015,52,19.9M,2.4M,15.8M,4.6M,26.3M,19.4M,10.7M,26.2M,2.1M,127.5M,19.9,2.4,15.8,4.6,26.3,19.4,10.7,26.2,2.1,127.5,25.7705,3.108,20.461,5.957,34.0585,25.123,13.8565,33.929,2.7195,33.3727975
Atlanta Falcons,2015,53,21.3M,2.8M,25.7M,3.4M,19.9M,22.1M,9.7M,7.9M,4.4M,117.2M,21.3,2.8,25.7,3.4,19.9,22.1,9.7,7.9,4.4,117.2,27.5835,3.626,33.2815,4.403,25.7705,28.6195,12.5615,10.2305,5.698,35.7206325
Baltimore Ravens,2015,52,3.9M,1.1M,2.7M,2.9M,11.9M,6.2M,15.8M,27.0M,6.4M,77.9M,3.9,1.1,2.7,2.9,11.9,6.2,15.8,27,6.4,77.9,5.0505,1.4245,3.4965,3.7555,15.4105,8.029,20.461,34.965,8.288,6.5403975
Buffalo Bills,2015,53,4.1M,12.7M,8.4M,1.0M,15.5M,44.5M,6.2M,14.9M,4.6M,111.9M,4.1,12.7,8.4,1,15.5,44.5,6.2,14.9,4.6,111.9,5.3095,16.4465,10.878,1.295,20.0725,57.6275,8.029,19.2955,5.957,6.8758025
Carolina Panthers,2015,53,23.9M,11.6M,6.9M,10.1M,15.7M,29.7M,25.3M,9.2M,4.5M,136.9M,23.9,11.6,6.9,10.1,15.7,29.7,25.3,9.2,4.5,136.9,30.9505,15.022,8.9355,13.0795,20.3315,38.4615,32.7635,11.914,5.8275,40.0808975
Chicago Bears,2015,53,18.7M,9.0M,7.2M,1.9M,16.4M,4.5M,23.2M,11.3M,4.8M,97.0M,18.7,9,7.2,1.9,16.4,4.5,23.2,11.3,4.8,97,24.2165,11.655,9.324,2.4605,21.238,5.8275,30.044,14.6335,6.216,31.3603675
Cincinnati Bengals,2015,53,17.1M,4.4M,18.2M,3.4M,27.6M,33.4M,14.8M,21.4M,5.5M,145.8M,17.1,4.4,18.2,3.4,27.6,33.4,14.8,21.4,5.5,145.8,22.1445,5.698,23.569,4.403,35.742,43.253,19.166,27.713,7.1225,28.6771275
Cleveland Browns,2015,53,4.7M,2.3M,9.0M,6.5M,25.1M,17.9M,24.0M,24.7M,4.3M,118.5M,4.7,2.3,9,6.5,25.1,17.9,24,24.7,4.3,118.5,6.0865,2.9785,11.655,8.4175,32.5045,23.1805,31.08,31.9865,5.5685,7.8820175
Dallas Cowboys,2015,52,3.2M,3.3M,7.0M,8.5M,25.3M,25.2M,12.3M,20.0M,5.7M,110.5M,3.2,3.3,7,8.5,25.3,25.2,12.3,20,5.7,110.5,4.144,4.2735,9.065,11.0075,32.7635,32.634,15.9285,25.9,7.3815,5.36648
Denver Broncos,2015,53,18.5M,1.8M,22.4M,14.2M,24.7M,16.2M,20.7M,30.2M,5.4M,154.0M,18.5,1.8,22.4,14.2,24.7,16.2,20.7,30.2,5.4,154,23.9575,2.331,29.008,18.389,31.9865,20.979,26.8065,39.109,6.993,31.0249625
