Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted,,,,,
Edgerrin James,ARI,2007,N,4,30000000,7500000,109000000,0.06880733945,16,700,672,26,2,9,97,323,1221,3.780185759,8,676,6,17,33,24,208,8.666666667,0,8.6,1429,1440,5505,41,0.8479166667,0.259582198,0.1951219512,11107500,44430000,161429000,,,,,
Warrick Dunn,ATL,2007,N,3,12450000,4150000,109000000,0.0380733945,16,637,613,2,19,12,145,228,721,3.162280702,4,371,2,15,54,37,238,6.432432432,0,6.9,959,1520,4813,25,0.4743421053,0.1992520258,0.16,6146150,18438450,161429000,,,,,
Willis McGahee,BAL,2007,N,7,40120000,5731428.571,109000000,0.0525819135,15,623,608,6,7,6,130,294,1206,4.102040816,7,751,4,32,48,43,231,5.372093023,1,7.4,1437,1797,4832,24,0.6711185309,0.2973923841,0.3333333333,8488245.714,59417720,161429000,,,,,
Marshawn Lynch,BUF,2007,Y,5,19065000,3813000,109000000,0.03498165138,13,514,505,3,6,10,74,280,1115,3.982142857,7,648,3,25,24,18,186,10.33333333,0,11.6,1301,1800,4434,20,0.6194444444,0.2934145241,0.35,5647053,28235265,161429000,,,,,
Deshaun Foster,CAR,2007,N,3,19000000,6333333.333,109000000,0.05810397554,16,508,488,9,11,6,48,247,890,3.603238866,3,436,9,3,37,25,188,7.52,1,7.7,1078,1824,4559,26,0.4879385965,0.236455363,0.1538461538,9379666.667,28139000,161429000,,,,,
Cedric Benson,CHI,2007,Y,5,29960000,5992000,109000000,0.05497247706,11,385,373,5,6,5,51,196,674,3.43877551,4,323,2,17,26,17,123,7.235294118,0,7.9,797,1330,4692,26,0.5067669173,0.1698635976,0.1538461538,8874152,44370760,161429000,,,,,
Kenny Watson,CIN,2007,N,3,1900000,633333,109000000,0.005810394495,16,606,591,10,5,11,95,178,780,4.382022472,7,353,4,14,65,52,374,7.192307692,0,8.8,1154,1330,4692,36,0.5864661654,0.2459505541,0.1944444444,937966.173,2813900,161429000,,,,,
Jamal Lewis,CLE,2007,N,1,3500000,3500000,109000000,0.03211009174,14,590,581,7,2,4,54,298,1312,4.402684564,9,771,3,33,36,30,247,8.233333333,2,7.9,1559,1330,4692,42,0.9864661654,0.3322676897,0.2619047619,5183500,5183500,161429000,,,,,
Marion Barber III,DAL,2007,Y,3,1290000,430000,109000000,0.003944954128,17,597,594,1,2,3,83,231,1110,4.805194805,11,608,6,31,54,45,291,6.466666667,2,6.2,1401,1330,5851,50,0.8345864662,0.2394462485,0.26,636830,1910490,161429000,,,,,
Selvin Young,DEN,2007,Y,3,1125000,375000,109000000,0.003440366972,15,472,451,4,15,6,68,139,759,5.460431655,1,373,3,15,41,35,234,6.685714286,0,7.9,993,1330,5541,31,0.5706766917,0.179209529,0.03225806452,555375,1666125,161429000,,,,,
