Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
Beanie Wells,ARI,2009,Y,5,"$9,600,000","$1,920,000","$123,000,000",0.0156097561,18,351,346,3,2,3,21,195,919,4.7,8,613,7,31,15,12,143,11.9,0,9.3,1062,1494,5510,43,0.6151271754,0.1927404719,0.1860465116,"$2,747,520","$13,737,600","$176,013,000"
Michael Turner,ATL,2009,N,6,"$34,500,000","$5,750,000","$123,000,000",0.04674796748,11,337,331,5,1,1,49,178,875,4.9,10,594,4,23,7,5,35,7,0,4.8,910,1876,5447,41,0.4664179104,0.1670644391,0.243902439,"$8,228,250","$49,369,500","$176,013,000"
Ray RIce,BAL,2009,Y,4,"$3,159,000","$789,750","$123,000,000",0.006420731707,18,874,829,19,26,2,86,289,1564,5.4,9,816,6,35,108,87,762,8.8,1,9.9,2326,2200,5619,43,0.7109090909,0.4139526606,0.2325581395,"$1,130,132","$4,520,529","$176,013,000"
Fred Jackson,BUF,2009,N,4,"$7,500,000","$1,875,000","$123,000,000",0.01524390244,16,669,638,18,13,12,98,237,1067,4.5,2,708,2,24,58,46,368,8,2,9.2,1435,1867,4382,23,0.5715050884,0.3274760383,0.1739130435,"$2,683,125","$10,732,500","$176,013,000"
Jonathan Stewart,CAR,2009,Y,5,"$20,600,000","$4,120,000","$123,000,000",0.03349593496,16,431,427,2,2,6,45,221,1133,5.1,10,740,4,31,25,18,139,7.7,1,7.5,1272,2498,5297,34,0.4535628503,0.240135926,0.3235294118,"$5,895,720","$29,478,600","$176,013,000"
Matt Forte,CHI,2009,Y,4,"$3,766,500","$941,625","$123,000,000",0.007655487805,16,833,786,16,31,12,146,258,929,3.6,4,545,7,16,66,57,481,8.4,0,9.2,1410,1492,4965,33,0.6226541555,0.2839879154,0.1212121212,"$1,347,465","$5,389,862","$176,013,000"
Cedric Benson,CIN,2009,N,2,"$6,500,000","$3,250,000","$123,000,000",0.02642276423,14,617,615,1,1,3,55,322,1423,4.4,7,851,2,34,24,20,123,6.2,0,5.6,1546,2056,4946,30,0.6921206226,0.3125758188,0.2333333333,"$4,650,750","$9,301,500","$176,013,000"
Jerome Harrison,CLE,2009,Y,4,"$1,789,000","$447,250","$123,000,000",0.003636178862,14,527,506,10,11,8,87,194,869,4.5,5,496,2,23,45,34,220,6.5,2,7.6,1089,2087,4163,21,0.4163871586,0.2615901994,0.3333333333,"$640,015","$2,560,059","$176,013,000"
Marion Barber III,DAL,2009,N,7,"$45,000,000","$6,428,571","$123,000,000",0.05226480836,17,565,557,3,5,3,94,225,950,4.2,7,618,3,25,33,26,221,8.5,0,9.3,1171,2103,6390,40,0.4517356158,0.1832550861,0.175,"$9,199,286","$64,395,000","$176,013,000"
Knowshon Moreno,DEN,2009,Y,5,"$17,075,000","$3,415,000","$123,000,000",0.02776422764,16,596,584,1,11,3,57,247,947,3.8,7,603,6,27,38,28,217,7.8,2,8.1,1164,1836,5463,30,0.515795207,0.2130697419,0.3,"$4,886,865","$24,434,325","$176,013,000"
