Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
Adrian Peterson,ARI,2017,Y,2,7000000,3500000,169351526,0.02066707093,6,300,281,10,9,3,13,129,448,3.472868217,2,293,3,9,15,9,66,7.333333333,0,5.9,514,1386,5026,27,0.3232323232,0.1022682053,0.07407407407,4385500,8771000,212197462.1
Devonta Freeman,ATL,2017,N,5,41250000,8250000,166313787,0.04960502763,15,631,573,21,37,7,61,224,938,4.1875,8,583,4,24,48,42,346,8.238095238,2,6.4,1284,1847,5837,33,0.5078505685,0.2199760151,0.303030303,10337250,51686250,208391175.1
Alex Collins,BAL,2017,N,1,540000,540000,158870983,0.003398984445,15,407,366,4,8,4,27,212,973,4.589622642,6,631,6,27,32,23,187,8.130434783,0,8.4,1160,1856,4886,34,0.5242456897,0.2374130168,0.1764705882,676620,676620,199065341.7
LeSean McCoy,BUF,2017,N,5,40000000,8000000,155791897,0.05135055259,17,776,721,27,27,4,45,306,1213,3.964052288,6,654,3,35,79,65,492,7.569230769,2,7.2,1705,2017,4842,28,0.6013882003,0.3521272202,0.2857142857,10024000,50120000,195207246.9
Jonathan Stewart,CAR,2017,N,1,8000000,8000000,176672311,0.04528157216,16,427,417,4,6,2,31,209,731,3.497607656,6,465,3,17,13,8,52,6.5,1,8.8,783,2102,5179,37,0.3477640343,0.1511874879,0.1891891892,10024000,10024000,221370405.7
Jordan Howard,CHI,2017,Y,4,2588022,647005.5,167722301,0.003857599712,16,576,569,1,5,3,56,276,1122,4.065217391,9,696,1,32,31,23,125,5.434782609,0,6.7,1247,1788,4599,26,0.6275167785,0.2711459013,0.3461538462,810697.8915,3242791.566,210156043.2
Joe Mixon,CIN,2017,Y,4,5450174,1362543.5,162915563,0.008363495021,14,398,373,7,3,1,20,178,626,3.516853933,4,433,5,17,34,30,287,9.566666667,0,10.6,913,1366,4488,31,0.458272328,0.2034313725,0.1290322581,1707267.006,6829068.022,204133200.4
Isaiah Crowell,CLE,2017,N,1,2746000,2746000,131395141,0.02089879412,16,536,527,7,2,8,80,206,853,4.140776699,2,548,1,22,39,28,182,6.5,0,6.4,1035,1714,4942,26,0.4976662777,0.2094293808,0.07692307692,3440738,3440738,164638111.7
Ezekiel Elliott,DAL,2017,Y,4,24956341,6239085.25,159808251,0.03904107085,10,591,549,20,19,3,38,242,983,4.061983471,7,680,1,21,33,26,269,10.34615385,2,11,1252,2170,5311,40,0.4529953917,0.2357371493,0.225,7817573.818,31270295.27,200239738.5
C.J. Anderson,DEN,2017,N,4,18000000,4500000,157628109,0.02854820773,16,618,605,5,8,3,88,245,1007,4.110204082,3,680,1,21,35,28,224,8,1,7.7,1231,1852,5185,27,0.5437365011,0.237415622,0.1481481481,5638500,22554000,197508020.6
Ameer Abdullah,DET,2017,Y,4,4156126,1039031.5,162305019,0.006401721317,14,389,351,6,20,3,21,165,552,3.345454545,4,425,2,13,31,25,162,6.48,1,5.9,714,1221,5404,39,0.4520884521,0.1321243523,0.1282051282,1301906.47,5207625.878,203368188.8
Jamaal Williams,GB,2017,Y,4,2965992,741498,169715403,0.004369067197,14,502,395,6,40,3,56,153,556,3.633986928,4,350,0,6,33,25,262,10.48,2,10.1,818,1724,4891,38,0.3225058005,0.167245962,0.1578947368,929096.994,3716387.976,212653400
Lamar Miller,HOU,2017,N,4,26000000,6500000,161052404,0.04035953416,16,752,688,17,47,9,106,238,888,3.731092437,3,584,1,22,42,36,327,9.083333333,3,8.6,1215,1842,5120,36,0.4820846906,0.2373046875,0.1666666667,8144500,32578000,201798662.2
Frank Gore,IND,2017,N,3,12000000,4000000,157498655,0.02539704228,16,555,528,7,14,7,66,261,961,3.681992337,3,659,3,19,36,29,245,8.448275862,1,9.6,1206,1661,4553,24,0.5785671282,0.2648802987,0.1666666667,5012000,15036000,197345814.7
Leonard Fournette,JAX,2017,Y,4,27150842,6787710.5,172516956,0.03934517892,16,698,682,5,10,6,45,338,1282,3.792899408,13,797,2,25,53,43,346,8.046511628,1,8.1,1628,2262,5855,39,0.566755084,0.2780529462,0.358974359,8505001.257,34020005.03,216163745.9
Kareem Hunt,KC,2017,Y,4,3285722,821430.5,169002858,0.004860453307,17,705,680,6,16,6,38,283,1369,4.83745583,9,861,1,36,65,56,460,8.214285714,3,7.4,1829,1903,6007,38,0.7193904362,0.3044781089,0.3157894737,1029252.417,4117009.666,211760581.1
Marshawn Lynch,OAK/LV,2017,N,2,9000000,4500000,165666467,0.0271630106,15,460,432,10,17,0,37,207,891,4.304347826,7,639,1,21,29,20,151,7.55,0,8.4,1042,1554,5185,36,0.5733590734,0.2009643202,0.1944444444,5638500,11277000,207580083.2
Melvin Gordon,SD/LAC,2017,Y,4,10669773,2667443.25,158862663,0.01679087584,16,749,698,8,38,9,83,284,1105,3.89084507,8,722,1,34,73,58,476,8.206896552,4,8.6,1581,1595,6026,38,0.6927899687,0.2623630933,0.3157894737,3342306.392,13369225.57,199054916.7
Todd Gurley,STL/LAR,2017,Y,4,13823183,3455795.75,158110564,0.0218568302,16,847,816,8,23,8,77,293,1406,4.798634812,13,833,5,42,85,68,798,11.73529412,6,11.9,2204,1953,5784,45,0.7199180748,0.3810511757,0.4222222222,4330112.075,17320448.3,198112536.7
Kenyan Drake,MIA,2017,Y,4,3381260,845315,173171683,0.004881369664,14,613,436,8,31,1,48,133,644,4.842105263,3,571,2,16,43,32,239,7.46875,1,6.9,883,1388,4923,28,0.4639769452,0.1793621775,0.1428571429,1059179.695,4236718.78,216984118.8
Latavius Murray,MIN,2017,N,3,15000000,5000000,154777781,0.03230437837,18,468,451,1,14,3,36,241,910,3.77593361,9,607,1,21,21,19,131,6.894736842,0,8.7,1041,1957,5710,40,0.4649974451,0.1823117338,0.225,6265000,18795000,193936559.6
Dion Lewis,NE,2017,N,2,2600000,1300000,163713427,0.007940704827,19,581,454,17,29,0,37,213,1031,4.840375587,6,635,2,27,51,48,325,6.770833333,3,7.3,1356,1889,6307,48,0.545791424,0.2149992072,0.1875,1628900,3257800,205132924
Mark Ingram,NO,2017,N,4,16000000,4000000,162941460,0.02454869375,18,623,611,7,5,2,48,249,1171,4.702811245,12,742,4,23,67,60,432,7.2,0,8.9,1603,2070,6259,46,0.5657004831,0.2561111999,0.2608695652,5012000,20048000,204165649.4
Orleans Darkwa,NYG,2017,N,1,1100000,1100000,168653914,0.006522232268,15,376,310,0,3,3,24,171,751,4.391812865,5,503,1,16,26,19,116,6.105263158,0,6.7,867,1549,5028,26,0.4848289219,0.1724343675,0.1923076923,1378300,1378300,211323354.2
Bilal Powell,NYJ,2017,N,3,11250000,3750000,146126320,0.02566272797,15,466,383,7,11,0,30,178,772,4.337078652,5,429,2,20,29,23,170,7.391304348,0,7.2,942,1702,4884,32,0.4535840188,0.1928746929,0.15625,4698750,14096250,183096279
LeGarrette Blount,PHI,2017,N,1,1250000,1250000,173790936,0.007192550019,19,407,401,2,4,4,44,202,896,4.435643564,5,713,1,24,8,8,50,6.25,1,5.6,946,2115,5852,47,0.4236406619,0.1616541353,0.1276595745,1566250,1566250,217760042.8
Le'Veon Bell,PIT,2017,N,1,12120000,12120000,163604183,0.07408123544,16,1023,889,77,55,7,61,337,1358,4.029673591,10,860,4,35,112,94,743,7.904255319,3,8.1,2101,1667,6047,41,0.8146370726,0.3474450141,0.3170731707,15186360,15186360,204996041.3
Carlos Hyde,SF,2017,Y,4,3681678,920419.5,146588821,0.006278920137,16,786,703,22,53,13,107,240,938,3.908333333,8,609,2,27,83,59,350,5.93220339,0,5.7,1288,1662,5587,30,0.5643802647,0.2305351709,0.2666666667,1153285.634,4613142.534,183675792.7
Mike Davis,SEA,2017,N,1,615000,615000,167367602,0.003674546284,6,175,170,1,4,0,8,68,240,3.529411765,0,193,0,10,17,15,131,8.733333333,0,11.1,371,1629,5286,38,0.1473296501,0.07018539538,0,770595,770595,209711605.3
