,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted,Extra Contract Data,Guaranteed Money On Current Deal,Money Spent On RBs This Year,Player: Total # of Contracts,Player: # of Years in NFL,GM adjusted,Money spent adjusted
Edgerrin James,ARI,2008,N,4,30000000,7500000,116000000,0.06465517241,17,449,435,12,2,5,69,194,750,3.9,4,541,3,15,25,19,147,7.7,0,7.1,897,1178,5852,45,0.636672326,0.1532809296,0.08888888889,10695000,42780000,165416000,,0,,4,11,0,0
Michael Turner,ATL,2008,N,6,34500000,5750000,116000000,0.04956896552,17,648,639,9,0,3,52,394,1741,4.4,18,1313,3,46,10,7,48,6.9,0,6.4,1789,2443,5779,39,0.7126483831,0.3095691296,0.4615384615,8199500,49197000,165416000,,5750000,,3,9,8199500,0
Le'Ron McClain,BAL,2008,Y,3,1394000,464666.6667,116000000,0.004005747126,19,792,700,78,14,5,106,264,997,3.8,11,741,6,13,30,19,123,6.5,1,8.1,1120,2376,5184,36,0.4196127946,0.2160493827,0.3333333333,662614.6667,1987844,165416000,,0,,3,7,0,0
Marshawn Lynch,BUF,2008,Y,5,19065000,3813000,116000000,0.03287068966,16,669,637,17,15,8,74,250,1036,4.1,8,749,3,26,64,47,300,6.4,1,8.1,1336,1842,4882,30,0.562432139,0.2736583367,0.3,5437338,27186690,165416000,,0,,5,11,0,0
DeAngelo Williams,CAR,2008,Y,5,10425000,2085000,116000000,0.01797413793,17,619,606,2,11,5,66,285,1578,5.5,18,1117,0,41,30,23,127,5.5,2,7,1705,2437,5595,45,0.6475174395,0.3047363718,0.4444444444,2973210,14866050,165416000,,5000000,,4,11,7130000,0
Matt Forte,CHI,2008,Y,4,3766500,941625,116000000,0.008117456897,16,852,820,7,25,6,154,316,1238,3.9,8,692,1,24,74,63,477,7.6,4,7.1,1715,1673,4734,35,0.7399880454,0.3622729193,0.3428571429,1342757.25,5371029,165416000,,2000000,,3,10,2852000,0
Cedric Benson,CIN,2008,Y,5,29960000,5992000,116000000,0.05165517241,12,450,450,0,0,3,46,214,747,3.5,2,509,2,20,23,20,185,9.3,0,10.9,932,1520,3926,17,0.4914473684,0.2373917473,0.1176470588,8544592,42722960,165416000,,0,,4,8,0,0
Jamal Lewis,CLE,2008,N,3,26000000,8666666.667,116000000,0.07471264368,16,555,535,13,7,7,63,318,1002,3.6,4,706,3,22,31,23,178,7.7,0,8.3,1180,1605,3985,17,0.6242990654,0.2961104141,0.2352941176,12358666.67,37076000,165416000,,0,,4,10,0,0
Marion Barber III,DAL,2008,N,7,45000000,6428571.429,116000000,0.05541871921,15,694,688,1,5,5,97,238,885,3.7,7,569,11,23,60,52,434,8.3,2,8.6,1319,1723,5512,41,0.5136390017,0.2392960813,0.2195121951,9167142.857,64170000,165416000,,16000000,,3,7,22816000,0
Peyton Hillis,DEN,2008,Y,4,1754800,438700,116000000,0.003781896552,10,349,342,4,3,2,34,68,343,5,5,208,1,9,18,14,179,12.8,1,10.3,522,1862,6333,40,0.1842105263,0.08242539081,0.15,625586.2,2502344.8,165416000,,49800,,5,7,71014.8,0
