Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted,Extra Contract Data,Guaranteed Money On Current Deal,Money Spent On RBs This Year,Player: Total # of Contracts,Player: # of Years in NFL,GM adjusted,Money spent adjusted
LaRod Stephens-Howling,ARI,2012,N,1,1927000,1927000,117797796,0.01635854036,14,338,311,22,5,4,53,110,356,3.236363636,4,257,0,9,28,17,106,6.235294118,0,7.9,462,1204,4209,21,0.2956810631,0.1097647897,0.1904761905,2576399,2576399,157495653.3,,0,,4,5,0,0
Michael Turner,ATL,2012,N,6,34500000,5750000,127447956,0.04511645522,18,508,497,11,0,3,85,244,928,3.803278689,10,591,3,24,29,19,128,6.736842105,1,7.8,1056,1397,5906,44,0.6642806013,0.1788012191,0.25,7687750,46126500,170397917.2,,5750000,,3,9,7687750,0
Ray Rice,BAL,2012,N,1,7700000,7700000,129851198,0.05929864428,20,1012,960,18,31,12,173,341,1451,4.255131965,11,768,5,31,69,92,566,6.152173913,1,8.9,2017,1901,5640,39,0.7632824829,0.3576241135,0.3076923077,10294900,10294900,173611051.7,,7700000,,3,7,10294900,0
CJ Spiller,BUF,2012,Y,5,25672087,5134417.4,132433193,0.03876986791,16,570,433,65,72,10,78,207,1244,6.009661836,6,742,4,32,55,43,459,10.6744186,2,12,1703,2217,5486,36,0.5611186288,0.3104265403,0.2222222222,6864716.064,34323580.32,177063179,,11854169,,5,9,15849023.95,0
DeAngelo Williams,CAR,2012,N,5,43000000,8600000,126838460,0.06780277843,16,416,393,6,8,1,40,172,737,4.284883721,5,542,2,18,19,13,187,14.38461538,2,16.4,924,2088,5771,40,0.3529693487,0.1601108993,0.175,11498200,57491000,169583021,,25500000,,4,11,34093500,0
Matt Forte,CHI,2012,N,4,30400000,7600000,128921164,0.05895075536,15,693,639,16,38,6,120,248,1094,4.411290323,5,597,2,25,59,44,340,7.727272727,1,7.2,1434,1970,4969,32,0.5553299492,0.2885892534,0.1875,10161200,40644800,172367596.3,,17100000,,3,10,22862700,0
BenJarvus Green-Ellis,CIN,2012,N,3,9000000,3000000,117392278,0.0255553436,17,685,673,3,8,5,88,289,1157,4.003460208,6,603,3,19,28,24,95,3.958333333,0,3.8,1252,1745,5323,27,0.6630372493,0.2352057111,0.2222222222,4011000,12033000,156953475.7,,3800000,,3,7,5080600,0
Trent Richardson,CLE,2012,Y,4,20489796,5122449,127350645,0.0402231885,16,702,680,10,12,9,69,267,950,3.558052434,11,558,3,14,61,51,367,7.196078431,1,8.9,1317,1593,5028,28,0.5963590709,0.2619331742,0.4285714286,6848714.313,27394857.25,170267812.4,,20489796,,3,4,27394857.25,0
Demarco Murray,DAL,2012,Y,4,2973438,743359.5,131577799,0.005649581507,10,469,463,4,2,4,71,161,663,4.118012422,4,400,3,14,41,35,251,7.171428571,0,7.1,914,1265,5994,37,0.5241106719,0.1524858192,0.1081081081,993871.6515,3975486.606,175919517.3,,662500,,3,7,885762.5,0
Willis McGahee,DEN,2012,N,4,9500000,2375000,132948944,0.01786400048,10,391,284,0,7,1,43,167,731,4.377245509,4,396,5,18,31,26,221,8.5,0,9,952,1832,6366,49,0.3990174672,0.1495444549,0.08163265306,3175375,12701500,177752738.1,,3000000,,4,11,4011000,0
Mikel Leshoure,DET,2012,Y,4,3434178,858544.5,132700649,0.006469783731,14,529,512,8,8,2,55,215,798,3.711627907,9,431,3,17,45,34,214,6.294117647,0,7.1,1012,1613,6540,39,0.4947303162,0.1547400612,0.2307692308,1147873.997,4591495.986,177420767.7,,1595584,,1,4,2133295.808,0
