Week,Opposing Team,Receptions,Yards,YAC,TD,PBU,PEN,Snaps,Targets,REC%,Y/REC,Longest,Passer Rating,INTS
1,BLT,1,8,5,0,1,0,56,3,0.3333333333,8,8,42.4,0
2,CLV,4,33,5,1,0,0,62,5,0.8,8.25,13,133.8,0
3,CIN,2,51,7,0,2,0,68,4,0.5,25.5,45,95.8,0
4,PIT,2,9,6,0,1,0,64,7,0.2857142857,4.5,5,39.6,0
5,MIA,3,26,17,0,0,1,67,5,0.6,8.666666667,11,34.2,1
6,GB,1,8,2,0,3,1,65,6,0.1666666667,8,8,39.6,0
7,DEN,4,16,8,0,3,0,79,10,0.4,4,8,47.9,0
8,NE,2,-4,2,0,0,0,77,3,0.6666666667,-2,-2,70.1,0
9,BUF,2,59,6,0,0,0,62,4,0.5,29.5,42,56.3,1
11,NE,2,19,13,0,1,0,63,4,0.5,9.5,11,63.5,0
12,CHI,1,31,2,0,0,1,57,3,0.3333333333,31,31,72.9,0
13,MIN,2,17,2,0,0,1,68,4,0.5,8.5,10,61.5,0
14,BUF,1,8.5,0,0,1,0,59,2,0.5,8.5,6,56.3,0
15,DET,0,6,0,0,0,0,68,0,0,0,0,0,0
16,JAX,1,23,20,0,0,0,72,2,0.5,23,23,91.7,0
17,SEA,3,17,7,0,2,0,72,8,0.375,5.666666667,10,45.8,0
18,MIA,3,42,3,0,0,1,55,4,0.75,14,26,108.3,0
