Week,Opposing Team,Receptions,Yards,Y/REC,YAC,TD,PBU,PEN,Snaps,Targets,REC%,Longest,Passer Rating,INTS
1,DEN,0,0,0,0,0,0,2,54,3,0,N/A,39.6,0
2,SF,3,37,12.33333333,14,0,0,0,73,4,75,16,103.1,0
3,ATL,3,54,18,19,0,0,0,57,5,60,23,57.5,1
4,DET,3,47,15.66666667,12,0,0,3,71,5,60,26,51.7,1
5,NO,2,15,7.5,9,0,0,1,77,3,66.66666667,11,38.9,1
6,ARZ,4,40,10,9,0,0,0,71,7,57.14285714,24,33.9,1
7,LAC,3,37,12.33333333,14,1,1,0,71,5,60,14,122.5,0
8,NYG,2,48,24,20,0,1,0,65,4,50,27,93.8,0
9,ARZ,2,4,2,0,1,1,0,64,3,66.66666667,6,109.7,0
10,TB,4,57,14.25,31,2,0,0,75,6,66.66666667,31,97.2,1
12,LV,1,20,20,3,0,0,0,77,2,50,20,85.4,0
13,LA,1,23,23,7,0,2,0,64,4,25,23,11.5,1
14,CAR,1,18,18,0,0,1,1,73,1,100,18,118.8,0
15,SF,1,54,54,34,1,0,1,64,1,100,54,158.3,0
16,KC,1,6,6,2,0,1,0,53,2,50,6,56.3,0
17,NYJ,5,42,8.4,17,0,1,0,68,9,55.55555556,15,67.8,0
18,LA,2,47,23.5,16,0,1,0,58,4,50,35,92.7,0
