,game_date,play_id,play_type_nfl,punt_inside_twenty,game_id,possession_team,home_team,away_team,home_score,away_score,total_home_score,total_away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,return_yards,return_touchdown
142,2017-09-10,3428.0,PUNT,0.0,2017_01_ARI_DET,ARI,DET,ARI,35,23,15.0,17.0,0.56113213,Half2,869.0,punt,0.43886787,24.0,0.0
932,2017-09-10,1376.0,PUNT,0.0,2017_01_JAX_HOU,JAX,HOU,JAX,7,29,0.0,6.0,0.6205539,Half1,2331.0,punt,0.3794461,21.0,0.0
1312,2017-09-11,1262.0,PUNT,0.0,2017_01_LAC_DEN,LAC,DEN,LAC,24,21,7.0,7.0,0.39457574,Half1,2420.0,punt,0.6054243,31.0,0.0
1912,2017-09-10,3678.0,PUNT,0.0,2017_01_NYJ_BUF,BUF,BUF,NYJ,21,12,21.0,12.0,0.88663703,Half2,466.0,punt,0.11336297,25.0,0.0
2361,2017-09-10,1580.0,PUNT,0.0,2017_01_PIT_CLE,PIT,CLE,PIT,18,21,7.0,7.0,0.43148053,Half1,2130.0,punt,0.5685195,25.0,0.0
3417,2017-09-17,1622.0,PUNT,0.0,2017_02_DAL_DEN,DAL,DEN,DAL,42,17,14.0,7.0,0.17527275,Half1,2076.0,punt,0.82472724,20.0,0.0
3659,2017-09-18,2722.0,PUNT,0.0,2017_02_DET_NYG,NYG,NYG,DET,10,24,10.0,23.0,0.14083874,Half2,797.0,punt,0.85916126,88.0,1.0
3889,2017-09-14,124.0,PUNT,0.0,2017_02_HOU_CIN,HOU,CIN,HOU,9,13,0.0,0.0,0.35760528,Half1,3554.0,punt,0.6423947,33.0,0.0
3911,2017-09-14,673.0,PUNT,0.0,2017_02_HOU_CIN,HOU,CIN,HOU,9,13,0.0,0.0,0.34696323,Half1,3028.0,punt,0.6530368,26.0,0.0
4095,2017-09-17,735.0,PUNT,0.0,2017_02_MIA_LAC,MIA,LAC,MIA,17,19,0.0,3.0,0.55264133,Half1,2791.0,punt,0.44735867,23.0,0.0
5007,2017-09-17,1366.0,PUNT,0.0,2017_02_SF_SEA,SEA,SEA,SF,12,9,6.0,0.0,0.6420467,Half1,2398.0,punt,0.3579533,21.0,0.0
5233,2017-09-17,2499.0,PUNT,0.0,2017_02_TEN_JAX,JAX,JAX,TEN,16,37,3.0,9.0,0.21691199,Half2,1359.0,punt,0.783088,46.0,0.0
5569,2017-09-24,2162.0,PUNT,0.0,2017_03_ATL_DET,DET,DET,ATL,26,30,13.0,20.0,0.22118329,Half2,1725.0,punt,0.7788167,27.0,0.0
5874,2017-09-24,726.0,PUNT,0.0,2017_03_CIN_GB,CIN,GB,CIN,27,24,7.0,7.0,0.38549477,Half1,2921.0,punt,0.61450523,33.0,0.0
5949,2017-09-24,2407.0,PUNT,0.0,2017_03_CIN_GB,GB,GB,CIN,27,24,14.0,21.0,0.21046437,Half2,1236.0,punt,0.78953564,20.0,0.0
6293,2017-09-25,1548.0,PUNT,0.0,2017_03_DAL_ARI,ARI,ARI,DAL,17,28,7.0,0.0,0.6619669,Half1,1955.0,punt,0.33803308,21.0,0.0
6614,2017-09-24,121.0,PUNT,0.0,2017_03_HOU_NE,HOU,NE,HOU,36,33,0.0,0.0,0.3466623,Half1,3525.0,punt,0.6533377,33.0,0.0
6701,2017-09-24,2103.0,PUNT,0.0,2017_03_HOU_NE,HOU,NE,HOU,36,33,21.0,20.0,0.39205194,Half1,1873.0,punt,0.60794806,20.0,0.0
8122,2017-09-24,1906.0,PUNT,0.0,2017_03_SEA_TEN,SEA,TEN,SEA,33,27,6.0,0.0,0.24251816,Half1,2028.0,punt,0.7574818,22.0,0.0
8959,2017-10-01,595.0,PUNT,0.0,2017_04_CIN_CLE,CLE,CLE,CIN,7,31,0.0,0.0,0.45458785,Half1,3032.0,punt,0.5454122,40.0,0.0
10312,2017-10-01,2387.0,PUNT,0.0,2017_04_OAK_DEN,OAK,DEN,LV,16,10,13.0,7.0,0.1712744,Half2,1346.0,punt,0.8287256,29.0,0.0
11351,2017-10-08,554.0,PUNT,0.0,2017_05_ARI_PHI,ARI,PHI,ARI,34,7,7.0,0.0,0.21315813,Half1,3044.0,punt,0.78684187,76.0,0.0
11812,2017-10-08,3533.0,PUNT,0.0,2017_05_BUF_CIN,CIN,CIN,BUF,20,16,17.0,13.0,0.6391709,Half2,652.0,punt,0.36082911,40.0,0.0
12522,2017-10-08,3430.0,PUNT,0.0,2017_05_KC_HOU,HOU,HOU,KC,34,42,20.0,38.0,0.042438928,Half2,461.0,punt,0.9575611,82.0,1.0
12538,2017-10-08,3796.0,PUNT,0.0,2017_05_KC_HOU,KC,HOU,KC,34,42,20.0,39.0,0.999114,Half2,221.0,punt,0.00088602304,49.0,0.0
12850,2017-10-09,2013.0,PUNT,0.0,2017_05_MIN_CHI,CHI,CHI,MIN,17,20,2.0,3.0,0.43555835,Half1,1838.0,punt,0.5644417,21.0,0.0
13034,2017-10-05,1900.0,PUNT,0.0,2017_05_NE_TB,TB,TB,NE,14,19,7.0,10.0,0.41096887,Half1,1948.0,punt,0.5890311,40.0,0.0
13992,2017-10-15,2404.0,PUNT,0.0,2017_06_CHI_BAL,BAL,BAL,CHI,24,27,3.0,10.0,0.22408769,Half2,1498.0,punt,0.7759123,21.0,0.0
14064,2017-10-15,4103.0,PUNT,0.0,2017_06_CHI_BAL,CHI,BAL,CHI,24,27,22.0,24.0,0.96500665,Half2,115.0,punt,0.03499335,77.0,1.0
14175,2017-10-15,1873.0,PUNT,0.0,2017_06_CLE_HOU,CLE,HOU,CLE,33,17,24.0,3.0,0.043774467,Half1,1967.0,punt,0.9562255,20.0,0.0
14430,2017-10-15,3759.0,PUNT,0.0,2017_06_DET_NO,NO,NO,DET,52,38,45.0,24.0,0.9838769,Half2,900.0,punt,0.016123116,26.0,0.0
14441,2017-10-15,4024.0,PUNT,0.0,2017_06_DET_NO,NO,NO,DET,52,38,45.0,30.0,0.9958016,Half2,675.0,punt,0.0041983724,74.0,1.0
15649,2017-10-15,2441.0,PUNT,0.0,2017_06_NYG_DEN,DEN,DEN,NYG,10,23,3.0,17.0,0.10064296,Half2,1564.0,punt,0.899357,20.0,0.0
15772,2017-10-12,1181.0,PUNT,0.0,2017_06_PHI_CAR,PHI,CAR,PHI,23,28,3.0,3.0,0.32648137,Half1,2568.0,punt,0.67351866,25.0,0.0
16062,2017-10-15,3497.0,PUNT,0.0,2017_06_PIT_KC,PIT,KC,PIT,13,19,13.0,19.0,0.94033855,Half2,119.0,punt,0.059661448,32.0,0.0
16193,2017-10-15,2951.0,PUNT,0.0,2017_06_SF_WAS,WAS,WAS,SF,26,24,17.0,10.0,0.7957632,Half2,1349.0,punt,0.2042368,39.0,0.0
16498,2017-10-22,747.0,PUNT,0.0,2017_07_ARI_LA,ARI,LA,ARI,33,0,3.0,0.0,0.31666982,Half1,2835.0,punt,0.6833302,20.0,0.0
16817,2017-10-22,113.0,PUNT,0.0,2017_07_BAL_MIN,BAL,MIN,BAL,24,16,0.0,0.0,0.34368557,Half1,3488.0,punt,0.65631443,46.0,0.0
17517,2017-10-22,487.0,PUNT,0.0,2017_07_DEN_LAC,DEN,LAC,DEN,21,0,6.0,0.0,0.36597672,Half1,3164.0,punt,0.6340233,65.0,1.0
17535,2017-10-22,879.0,PUNT,0.0,2017_07_DEN_LAC,DEN,LAC,DEN,21,0,7.0,0.0,0.21757537,Half1,2780.0,punt,0.7824246,20.0,0.0
18971,2017-10-23,509.0,PUNT,0.0,2017_07_WAS_PHI,WAS,PHI,WAS,34,24,0.0,3.0,0.47410896,Half1,3120.0,punt,0.52589107,22.0,0.0
20233,2017-10-29,631.0,PUNT,0.0,2017_08_IND_CIN,IND,CIN,IND,24,23,3.0,0.0,0.24707335,Half1,2967.0,punt,0.75292665,29.0,0.0
